customer_id,days_since_signup,contract_is_monthly,contract_is_annual,has_account_manager,is_enterprise,age,churned,recency_days,transaction_count,total_spend,avg_transaction_value,std_transaction_value,min_transaction,max_transaction,engagement_score,product_diversity,spending_trend,ticket_count,high_priority_tickets,resolution_rate
0,1689,0,0,1,0,19,0,57,52,16937.87,325.72826923076923,71.61733862036029,213.63,441.18,1.7293078995224254,4,-0.9964678040337678,1.0,0.0,1.0
1,299,1,0,0,0,61,0,30,9,2950.5,327.8333333333333,86.61071556106668,212.26,436.23,2.176979743682213,4,-0.5109388616245472,1.0,0.0,0.0
2,770,1,0,1,0,23,0,43,24,7973.04,332.21,69.36209872207182,217.81,444.35,1.992325214088057,4,-0.9986779481755684,2.0,0.0,0.0
3,919,0,0,1,0,63,0,15,56,48865.45,872.5973214285714,184.02626296256622,562.54,1170.3,5.018200753255023,4,-0.04777952111330921,0.0,0.0,0.0
4,1600,0,1,0,0,69,1,1506,4,995.0699999999999,248.76749999999998,47.643029133337,217.68,319.58,1.3538187034287128e-07,3,0.0,7.0,1.0,0.5714285714285714
5,379,0,1,1,0,27,0,19,23,18808.98,817.7817391304347,151.41546926652367,628.71,1072.07,4.722719087137094,4,-0.7591778024889084,4.0,2.0,0.75
6,880,1,0,0,0,24,0,23,55,50204.78,912.8141818181819,178.20900326105763,573.36,1198.52,4.85030862059414,4,-0.7942070056173365,4.0,0.0,0.25
7,675,1,0,1,0,52,0,25,43,39873.2,927.2837209302324,182.45687491808204,560.92,1193.87,4.5241442941351,4,-0.6697835414141564,1.0,1.0,0.0
8,1515,0,0,1,0,71,0,24,96,83167.62,866.3293749999999,180.05898631639982,562.72,1194.49,4.834186710894198,4,-0.6489731084164839,2.0,2.0,0.0
9,1551,0,0,1,0,20,0,31,94,83595.58,889.3146808510638,176.8827804957807,564.76,1188.16,4.322571713261585,4,-0.9997232814393793,3.0,0.0,0.6666666666666666
10,1191,1,0,0,0,42,0,24,75,64350.93,858.0124,180.61670076951594,561.65,1186.58,4.975387459121276,4,-0.7641648443439168,3.0,1.0,0.3333333333333333
11,1419,1,0,0,1,40,0,10,161,358648.48,2227.630310559006,465.57322301575493,1401.87,2985.92,10.164454626567522,4,-0.7828684771163406,4.0,1.0,0.75
12,890,0,0,1,1,56,0,11,101,222785.25,2205.7945544554455,496.2232382678681,1412.3,2999.48,10.75597745935402,4,-0.7963388283394939,2.0,0.0,0.5
13,896,1,0,1,1,42,0,17,97,205006.32,2113.4672164948456,454.3081848438674,1421.9,2975.82,8.973994178722016,4,-0.7152327884373527,4.0,2.0,0.25
14,1272,0,0,1,0,71,0,44,40,13112.68,327.817,66.28172820116666,222.36,448.98,2.077178618112754,4,-0.9977929816817479,3.0,1.0,0.6666666666666666
15,987,0,1,0,0,35,0,46,30,9679.31,322.64366666666666,66.43958232774388,219.13,448.62,1.9473629797089718,4,-0.9984900874239382,4.0,2.0,0.25
16,879,1,0,0,0,43,1,715,6,1588.96,264.82666666666665,35.74590755130812,222.95,329.56,0.0010439207851869036,3,0.0,2.0,0.0,1.0
17,966,1,0,0,1,65,0,14,113,250454.72,2216.4134513274334,469.77391955327437,1404.23,2992.05,9.353235721097638,4,-0.5108925199357883,1.0,1.0,1.0
18,1204,0,0,0,0,75,1,1039,11,8391.16,762.8327272727273,197.64425668816733,412.09,1071.1,4.9231546307664285e-05,3,0.0,0.0,0.0,0.0
19,1691,1,0,1,0,50,0,56,51,17071.72,334.73960784313726,68.33424863012058,216.78,446.6,1.8775069650287572,4,-0.998715230937239,4.0,2.0,0.5
20,1723,1,0,0,1,58,1,1617,11,21186.1,1926.0090909090907,734.4295964958732,870.61,2956.88,9.882563713927136e-08,4,0.0,0.0,0.0,0.0
21,1344,0,0,0,1,42,0,9,154,335348.72,2177.589090909091,473.3042021267107,1404.88,2965.77,9.620362148410578,4,-0.3060116799969842,1.0,0.0,1.0
22,952,0,0,1,1,53,0,16,101,216243.47,2141.0244554455444,480.1009701895534,1407.68,2986.87,9.01040496743733,4,-0.5459513139473349,3.0,1.0,0.3333333333333333
23,478,0,0,0,0,67,0,53,15,4759.03,317.26866666666666,64.78210774441908,232.96,432.71,1.9150693771204264,4,-0.9984855139408442,1.0,0.0,0.0
24,659,0,1,0,1,47,0,18,76,172336.76,2267.588947368421,470.73038376995646,1454.5,2980.88,9.332609418789469,4,-0.7486040650690766,1.0,0.0,0.0
25,1807,0,0,0,1,50,0,14,195,427484.85,2192.23,463.05805205635585,1401.28,2984.92,9.08489340206477,4,-0.6478444266992344,2.0,0.0,0.5
26,948,0,0,1,0,27,0,62,29,9437.46,325.4296551724138,68.4153868179394,223.57,443.47,1.6952991085071798,4,-0.997718613829763,1.0,1.0,1.0
27,441,0,0,0,0,49,0,61,13,4067.55,312.88846153846157,52.79159068863049,215.69,415.63,1.7134130741201594,4,-0.9969304438578181,2.0,1.0,0.5
28,1293,0,1,1,1,21,0,18,135,293825.45,2176.484814814815,491.079446821819,1400.19,2973.3,7.990019569784554,4,-0.859559238553632,2.0,0.0,0.5
29,1291,1,0,1,1,70,0,16,147,323117.24,2198.076462585034,438.1758893690835,1411.73,2980.27,9.41095499718602,4,-0.6244324207564124,0.0,0.0,0.0
30,923,1,0,0,0,53,0,23,59,52874.82,896.1833898305084,196.81616118119982,562.08,1191.61,4.823739740357853,4,-0.7608296194922828,1.0,0.0,0.0
31,1226,1,0,0,0,63,0,31,75,64403.020000000004,858.7069333333334,175.32464956723533,578.21,1189.93,4.4380528521997284,4,-0.9997084029521285,1.0,0.0,0.0
32,582,0,1,1,0,25,1,401,7,2320.91,331.5585714285714,74.34374316389408,225.24,427.49,0.036915550148491405,4,0.0,2.0,0.0,0.5
33,702,0,1,1,0,55,0,35,22,6943.2,315.59999999999997,67.58645334821524,211.41,432.89,2.3000919000227147,4,-0.9985665754053008,1.0,1.0,1.0
34,1171,1,0,1,0,63,0,40,37,12111.61,327.3408108108108,67.6968469386532,213.62,437.01,2.1333448176202463,4,-0.9983980520312701,1.0,1.0,0.0
35,1708,1,0,0,0,22,0,38,52,17771.15,341.75288461538463,65.25779662942661,211.33,446.53,2.1563322550816513,4,-0.9982155284712433,0.0,0.0,0.0
36,1181,0,0,0,0,31,0,37,37,11975.44,323.6605405405406,63.91091720972708,212.99,427.57,2.27970468927225,4,-0.998624200316434,3.0,0.0,0.3333333333333333
37,245,1,0,1,0,69,0,35,8,2642.42,330.3025,74.49481261901971,250.51,422.05,2.1966137013772173,4,-0.99871371055915,1.0,0.0,0.0
38,284,1,0,0,0,40,0,20,18,15492.66,860.7033333333334,158.24210323202269,596.17,1101.98,5.190719120681201,4,-0.8225126201127225,3.0,2.0,0.3333333333333333
39,308,0,0,0,0,61,0,56,9,3062.13,340.2366666666667,53.425980571253916,250.08,403.23,1.7424323429469786,3,-0.9986878018055847,1.0,1.0,0.0
40,766,0,0,1,0,69,0,44,23,7204.87,313.25521739130437,64.54186230442473,219.26,439.15,2.007903927830468,4,-0.9985766542835589,2.0,0.0,0.5
41,1287,1,0,0,0,26,0,45,39,13236.97,339.40948717948714,70.23692648340584,212.68,446.47,1.925343500445754,4,-0.9980952743757262,1.0,0.0,1.0
42,1724,0,1,1,0,73,0,22,104,91296.2,877.8480769230769,189.24962044607724,575.93,1197.34,4.240079283968716,4,-0.6244772990358547,4.0,1.0,0.75
43,917,1,0,0,0,23,0,51,29,9216.21,317.8003448275862,77.09553028005296,214.39,438.83,2.0059881096028342,4,-0.9984646328169382,2.0,0.0,0.0
44,1156,0,1,1,0,31,0,28,36,12299.58,341.655,63.40545670523949,229.9,442.56,2.347661573705382,4,-0.10801097134209776,3.0,0.0,0.6666666666666666
45,1647,0,1,0,0,42,0,18,104,94031.76,904.1515384615384,178.47279738205808,564.96,1199.28,5.410975239350516,4,-0.7346695235344559,0.0,0.0,0.0
46,289,0,1,1,0,27,0,28,18,15441.75,857.875,199.64515265693717,560.74,1194.36,4.476697189094683,4,-0.7021388782055258,3.0,0.0,0.6666666666666666
47,1756,1,0,1,0,65,0,52,55,18528.95,336.89,71.74042628088408,215.88,449.9,1.8352868782606615,4,-0.99812291173931,0.0,0.0,0.0
48,1704,0,0,1,0,50,0,46,53,17627.94,332.60264150943397,73.96908842812816,211.65,440.73,1.9463695972837165,4,-0.9987368952886194,2.0,0.0,1.0
49,410,0,0,1,0,72,0,34,13,4097.92,315.2246153846154,61.79750272939632,212.77,419.37,2.3031200500283813,4,-0.9986143059058282,1.0,1.0,1.0
50,1762,0,0,1,1,43,1,1598,18,37010.97,2056.165,519.7969523850862,1332.3,2941.9,1.6528453206939003e-07,4,0.0,0.0,0.0,0.0
51,487,0,0,0,0,57,0,18,31,26034.09,839.8093548387097,166.44282181248678,571.84,1148.95,4.942274050949472,4,-0.7068226697349735,4.0,1.0,1.0
52,1451,0,1,0,0,60,1,1321,5,1461.63,292.326,80.50627913399055,154.44,351.78,1.175762700408233e-06,4,0.0,1.0,0.0,0.0
53,665,0,1,0,0,60,0,19,44,36352.42,826.1913636363636,156.8430856144892,567.65,1139.87,5.4531882263032925,4,-0.7266648480076383,4.0,0.0,0.5
54,1715,1,0,1,1,47,0,15,187,420833.5,2250.446524064171,441.10226901150736,1417.46,2999.47,8.784553950704565,4,-0.7203895095745996,3.0,2.0,0.6666666666666666
55,1821,1,0,0,0,50,0,61,56,18535.13,330.9844642857143,71.15202632825633,211.01,449.82,1.694954240272188,4,-0.9975310470829322,1.0,0.0,1.0
56,1025,1,0,0,0,41,1,954,3,945.55,315.18333333333334,97.52761677254979,257.68,427.79,5.275373599449696e-05,3,0.0,10.0,6.0,0.3
57,1818,0,0,0,0,57,0,30,57,18987.07,333.1064912280702,71.00730421410452,213.17,447.73,2.3922873675908614,4,-0.4423968501735666,3.0,2.0,0.6666666666666666
58,1558,0,0,1,0,74,0,18,98,85108.14,868.4504081632653,188.70270783473563,561.42,1198.34,4.80769775320545,4,-0.8101022976108768,4.0,1.0,0.25
59,1158,1,0,1,1,35,0,25,129,287240.86,2226.673333333333,491.6316576006964,1400.09,2988.23,8.880460516522195,4,-0.770273901387807,1.0,0.0,1.0
60,885,0,0,0,1,31,0,16,97,213360.53,2199.593092783505,506.56090065007834,1428.61,2997.06,8.390397321162567,4,-0.6108408474812249,3.0,0.0,0.3333333333333333
61,247,0,1,1,0,23,0,20,15,13083.69,872.246,210.45400426560803,565.36,1168.78,4.803504787162772,4,-0.7353834329682141,3.0,1.0,0.0
62,862,1,0,0,1,67,0,22,90,203435.4,2260.3933333333334,465.2777021439557,1418.41,2970.75,7.23314281716037,4,-0.8090523906499435,1.0,0.0,1.0
63,852,1,0,1,1,53,0,13,93,204959.1,2203.8612903225808,432.10403302311204,1402.91,2925.07,9.64673534115362,4,-0.5979397855331369,4.0,0.0,0.5
64,1619,1,0,1,1,74,0,4,173,379923.11,2196.0873410404624,474.0205595100677,1405.62,3000.0,10.346107718464669,4,-0.30520855767230143,1.0,0.0,1.0
65,254,0,1,0,0,45,0,53,7,2101.98,300.28285714285715,52.697028288853154,251.27,397.38,1.6687429981804356,4,-0.9980705782476992,4.0,2.0,0.5
66,1682,0,1,1,0,75,0,63,51,17476.03,342.66725490196075,67.71456647069171,216.88,449.94,1.675244962876676,4,-0.997432144416198,4.0,2.0,0.5
67,912,0,0,1,0,40,0,34,55,50872.83,924.9605454545455,176.79303958581986,590.08,1193.21,4.533169903197182,4,-0.9997345128044475,3.0,1.0,0.0
68,634,1,0,1,0,69,0,21,40,34690.45,867.2612499999999,221.1234656880283,571.52,1199.69,4.914006210578065,4,-0.6884381005450896,2.0,0.0,0.0
69,1007,1,0,1,1,68,0,19,107,241017.69,2252.5017757009346,454.95417311374297,1409.73,2997.88,8.317659739017412,4,-0.9005668091709388,4.0,0.0,0.5
70,439,0,1,1,0,68,0,24,26,22351.260000000002,859.6638461538462,198.94004465822204,560.43,1198.08,4.283819737267791,4,-0.6404808277998781,0.0,0.0,0.0
71,924,0,1,0,0,30,1,870,4,2601.3,650.325,156.56866576681296,517.07,875.24,0.00019006159705370264,2,0.0,5.0,1.0,0.2
