customer_id,signup_date,contract_type,region,age,industry,company_size,account_manager_assigned,churned
0,2022-08-28,biennial,North,19,Finance,Small,True,0
1,2020-07-14,monthly,North,61,Manufacturing,Small,False,0
2,2024-05-28,monthly,North,23,Retail,Small,True,0
3,2022-12-15,biennial,South,63,Manufacturing,Medium,True,0
4,2022-10-21,annual,East,69,Tech,Small,False,0
5,2021-08-19,annual,East,27,Retail,Medium,True,0
6,2023-10-28,monthly,West,24,Finance,Medium,False,1
7,2024-02-17,monthly,West,52,Tech,Medium,True,0
8,2024-02-18,biennial,East,71,Manufacturing,Medium,True,0
9,2023-12-25,biennial,North,20,Retail,Medium,True,0
10,2021-01-24,monthly,North,42,Finance,Medium,False,0
11,2023-09-20,monthly,East,40,Retail,Enterprise,False,0
12,2021-07-05,biennial,North,56,Retail,Enterprise,True,0
13,2024-02-03,monthly,West,42,Finance,Enterprise,True,0
14,2023-09-25,biennial,East,71,Tech,Small,True,0
15,2024-05-22,annual,West,35,Tech,Small,False,0
16,2022-01-10,monthly,West,43,Healthcare,Small,False,0
17,2023-03-08,monthly,South,65,Manufacturing,Enterprise,False,0
18,2020-02-02,biennial,West,75,Manufacturing,Medium,False,0
19,2023-05-18,monthly,South,50,Healthcare,Small,True,0
20,2020-06-23,monthly,South,58,Retail,Enterprise,False,0
21,2020-04-26,biennial,North,42,Healthcare,Enterprise,False,0
22,2023-12-16,biennial,East,53,Tech,Enterprise,True,0
23,2021-03-09,biennial,East,67,Finance,Small,False,0
24,2021-09-16,annual,South,47,Tech,Enterprise,False,0
25,2022-12-11,biennial,South,50,Tech,Enterprise,False,1
26,2021-04-16,biennial,South,27,Finance,Small,True,0
27,2020-07-28,biennial,East,49,Tech,Small,False,0
28,2020-02-11,annual,South,21,Retail,Enterprise,True,0
29,2023-11-22,monthly,West,70,Tech,Enterprise,True,0
30,2020-06-26,monthly,West,53,Retail,Medium,False,1
31,2024-01-11,monthly,South,63,Finance,Medium,False,1
32,2020-01-15,annual,West,25,Retail,Small,True,0
33,2020-02-02,annual,North,55,Manufacturing,Small,True,0
34,2024-01-01,monthly,North,63,Tech,Small,True,0
35,2022-01-25,monthly,East,22,Manufacturing,Small,False,1
36,2022-12-19,biennial,West,31,Manufacturing,Small,False,0
37,2023-02-08,monthly,West,69,Healthcare,Small,True,1
38,2022-03-18,monthly,West,40,Healthcare,Medium,False,1
39,2020-07-30,biennial,North,61,Tech,Small,False,0
40,2023-04-23,biennial,East,69,Tech,Small,True,0
41,2021-03-03,monthly,West,26,Healthcare,Small,False,0
42,2022-09-16,annual,South,73,Tech,Medium,True,0
43,2023-06-27,monthly,North,23,Retail,Small,False,0
44,2020-01-11,annual,West,31,Healthcare,Small,True,1
45,2021-03-09,annual,North,42,Finance,Medium,False,0
46,2024-02-21,annual,West,27,Retail,Medium,True,1
47,2021-04-04,monthly,North,65,Finance,Small,True,0
48,2020-09-18,biennial,West,50,Manufacturing,Small,True,0
49,2022-05-08,biennial,North,72,Retail,Small,True,0
50,2021-07-07,biennial,South,43,Tech,Enterprise,True,0
51,2023-06-23,biennial,North,57,Tech,Medium,False,0
52,2022-01-20,annual,South,60,Finance,Small,False,0
53,2021-12-28,annual,South,60,Finance,Medium,False,0
54,2022-01-23,monthly,North,47,Manufacturing,Enterprise,True,0
55,2023-06-05,monthly,South,50,Finance,Small,False,0
56,2021-12-10,monthly,South,41,Finance,Small,False,0
57,2023-08-19,biennial,East,57,Manufacturing,Small,False,0
58,2022-12-14,biennial,North,74,Retail,Medium,True,0
59,2021-11-14,monthly,South,35,Finance,Enterprise,True,0
60,2022-01-24,biennial,East,31,Finance,Enterprise,False,0
61,2023-02-17,annual,North,23,Healthcare,Medium,True,0
62,2021-06-11,monthly,East,67,Retail,Enterprise,False,0
63,2022-10-14,monthly,West,53,Healthcare,Enterprise,True,0
64,2024-01-14,monthly,North,74,Retail,Enterprise,True,0
65,2021-01-29,annual,South,45,Retail,Small,False,0
66,2021-05-02,annual,North,75,Finance,Small,True,0
67,2021-03-26,biennial,North,40,Manufacturing,Medium,True,0
68,2021-02-21,monthly,South,69,Retail,Medium,True,0
69,2022-01-25,monthly,East,68,Healthcare,Enterprise,True,0
70,2022-01-30,annual,South,68,Tech,Medium,True,0
71,2023-11-13,annual,South,30,Healthcare,Medium,False,0
72,2023-11-04,monthly,South,19,Retail,Medium,False,0
73,2024-03-13,annual,North,67,Finance,Medium,False,0
74,2023-08-21,biennial,East,19,Tech,Medium,True,1
75,2020-06-10,biennial,East,20,Tech,Enterprise,False,0
76,2023-08-03,annual,East,45,Manufacturing,Enterprise,True,0
77,2022-08-08,annual,South,34,Tech,Enterprise,False,0
78,2022-09-18,monthly,South,41,Healthcare,Small,False,0
79,2023-05-22,biennial,East,60,Tech,Enterprise,False,0
80,2023-09-13,biennial,East,60,Healthcare,Medium,False,0
81,2023-04-04,biennial,East,53,Retail,Small,False,0
82,2023-08-07,biennial,West,61,Retail,Enterprise,False,0
83,2020-12-02,annual,North,37,Finance,Small,False,0
84,2022-09-18,biennial,East,47,Healthcare,Medium,True,0
85,2022-02-15,biennial,West,68,Retail,Enterprise,True,0
86,2020-01-19,annual,East,23,Retail,Enterprise,False,0
87,2023-11-08,monthly,South,27,Tech,Small,True,1
88,2022-05-20,annual,North,47,Healthcare,Enterprise,True,0
89,2022-01-08,biennial,West,49,Healthcare,Small,True,0
90,2022-03-14,biennial,North,75,Tech,Medium,True,0
91,2021-03-13,monthly,West,21,Manufacturing,Small,True,0
92,2022-07-03,annual,South,69,Healthcare,Enterprise,False,0
93,2020-12-24,annual,West,71,Manufacturing,Medium,True,0
94,2021-10-27,biennial,West,46,Finance,Small,False,0
95,2020-07-29,biennial,West,58,Retail,Medium,False,0
96,2023-12-02,monthly,East,33,Finance,Medium,False,0
97,2021-04-13,biennial,North,26,Retail,Small,False,0
98,2021-07-27,biennial,South,63,Retail,Small,False,0
99,2023-03-09,annual,East,52,Healthcare,Medium,True,0
100,2021-03-29,monthly,West,42,Manufacturing,Enterprise,True,0
101,2021-08-12,biennial,West,48,Tech,Medium,False,0
102,2021-05-04,annual,West,52,Manufacturing,Enterprise,True,0
103,2022-10-13,annual,South,35,Healthcare,Medium,True,0
104,2022-10-22,annual,East,60,Healthcare,Enterprise,True,0
105,2021-08-06,annual,South,57,Manufacturing,Small,False,0
106,2022-05-15,biennial,North,23,Healthcare,Small,False,0
107,2022-05-03,monthly,North,34,Healthcare,Medium,True,0
108,2023-12-25,annual,East,39,Healthcare,Medium,False,0
109,2020-03-25,annual,North,48,Tech,Enterprise,True,0
110,2021-11-22,annual,South,59,Tech,Enterprise,True,0
111,2021-06-09,monthly,South,30,Tech,Enterprise,True,0
112,2023-02-18,monthly,South,48,Tech,Enterprise,True,0
113,2020-10-06,annual,East,67,Finance,Small,True,0
114,2023-07-20,monthly,East,24,Manufacturing,Small,False,0
115,2024-05-17,biennial,West,43,Retail,Small,True,0
116,2023-02-19,monthly,East,72,Manufacturing,Small,True,1
117,2022-01-03,annual,West,60,Finance,Small,False,1
118,2024-02-15,monthly,West,70,Healthcare,Small,False,0
119,2024-01-21,annual,West,63,Retail,Medium,True,0
120,2021-08-16,biennial,East,57,Manufacturing,Medium,False,0
121,2020-02-11,annual,East,38,Retail,Small,False,1
122,2023-04-23,annual,South,66,Healthcare,Enterprise,False,1
123,2023-02-28,annual,North,49,Finance,Small,False,0
124,2021-11-02,monthly,East,69,Finance,Medium,False,1
125,2022-09-19,biennial,East,53,Tech,Enterprise,True,0
126,2023-10-20,monthly,South,64,Healthcare,Medium,True,0
127,2020-05-31,biennial,West,59,Healthcare,Medium,True,0
128,2023-08-12,monthly,East,32,Healthcare,Enterprise,True,0
129,2022-03-31,annual,East,48,Manufacturing,Enterprise,False,0
130,2023-07-22,annual,East,40,Healthcare,Medium,False,1
131,2023-02-16,annual,South,25,Retail,Medium,True,0
132,2022-07-04,biennial,South,30,Retail,Enterprise,False,0
133,2022-06-11,annual,East,24,Retail,Medium,True,0
134,2023-08-05,annual,South,37,Tech,Enterprise,True,0
135,2022-03-09,annual,North,21,Manufacturing,Medium,True,1
136,2021-07-29,biennial,West,24,Tech,Enterprise,False,0
137,2023-09-19,annual,West,46,Finance,Small,True,1
138,2020-07-31,annual,West,25,Tech,Medium,False,1
139,2022-01-28,monthly,North,27,Retail,Enterprise,False,0
140,2021-02-26,monthly,South,25,Manufacturing,Medium,True,0
141,2023-06-23,biennial,West,46,Healthcare,Medium,False,0
142,2021-04-24,annual,North,57,Tech,Small,True,0
143,2023-10-09,annual,North,28,Retail,Small,True,1
144,2020-08-20,monthly,North,44,Healthcare,Enterprise,False,1
145,2022-08-15,annual,North,32,Finance,Enterprise,False,0
146,2020-11-12,biennial,West,22,Retail,Medium,True,0
147,2023-09-09,annual,North,52,Retail,Enterprise,True,0
148,2020-03-28,annual,South,22,Tech,Small,False,0
149,2020-07-14,biennial,East,46,Tech,Medium,False,1
150,2021-04-15,biennial,West,35,Manufacturing,Enterprise,False,0
151,2020-02-27,annual,North,56,Tech,Medium,False,0
152,2022-08-30,biennial,East,19,Tech,Small,True,0
153,2023-05-09,biennial,East,54,Tech,Small,False,0
154,2023-04-28,biennial,West,35,Retail,Enterprise,False,0
155,2021-11-10,biennial,West,23,Healthcare,Medium,False,0
156,2023-08-30,annual,East,60,Tech,Small,False,0
157,2024-03-27,annual,West,36,Healthcare,Enterprise,True,0
158,2021-05-09,annual,North,38,Finance,Medium,True,0
159,2023-03-14,annual,North,60,Manufacturing,Medium,False,0
160,2021-05-19,monthly,South,51,Finance,Enterprise,False,0
161,2024-03-10,biennial,West,66,Tech,Small,False,0
162,2022-02-09,biennial,South,36,Healthcare,Enterprise,False,0
163,2021-05-08,monthly,North,58,Manufacturing,Small,True,0
164,2021-11-22,annual,North,53,Healthcare,Small,True,0
165,2023-02-06,monthly,West,25,Retail,Medium,False,0
166,2022-08-15,biennial,East,44,Healthcare,Medium,True,0
167,2024-03-18,annual,South,42,Retail,Enterprise,True,0
