ticket_id,customer_id,ticket_date,issue_type,priority,resolved
0,0,2024-07-10,Feature Request,High,True
1,0,2024-05-10,Feature Request,Medium,False
2,0,2024-04-14,Bug,Medium,True
3,1,2023-11-02,Technical,High,False
4,2,2022-07-07,Bug,High,True
5,2,2024-08-28,Billing,Low,False
6,2,2024-06-10,Technical,Medium,False
7,2,2023-07-26,Technical,High,False
8,4,2024-06-10,Technical,High,False
9,4,2023-04-03,Technical,Low,True
10,4,2023-10-24,Technical,Medium,False
11,4,2024-04-14,Technical,High,False
12,7,2024-07-12,Feature Request,High,False
13,7,2024-11-11,Billing,Low,False
14,7,2024-11-12,Feature Request,Medium,False
15,7,2024-09-19,Technical,High,True
16,8,2022-02-21,Technical,Low,False
17,8,2023-01-29,Bug,Medium,True
18,8,2022-12-24,Billing,High,False
19,8,2024-04-25,Feature Request,Medium,True
20,9,2024-12-07,Billing,High,False
21,9,2024-08-28,Bug,High,True
22,10,2023-07-17,Billing,Medium,False
23,10,2023-11-28,Feature Request,Medium,False
24,10,2023-03-17,Feature Request,Low,False
25,12,2024-03-12,Technical,Low,False
26,13,2024-09-29,Technical,Medium,True
27,13,2024-12-01,Feature Request,High,True
28,13,2024-01-19,Billing,Medium,False
29,14,2021-09-26,Billing,Medium,True
30,14,2024-10-13,Billing,Low,False
31,15,2020-10-02,Feature Request,Medium,False
32,15,2022-02-07,Billing,High,True
33,16,2024-06-05,Technical,Medium,False
34,16,2023-07-02,Feature Request,Medium,False
35,16,2024-09-04,Feature Request,Medium,False
36,17,2024-04-17,Bug,High,False
37,17,2024-01-31,Billing,Low,False
38,17,2024-02-03,Technical,High,False
39,17,2024-02-22,Technical,Low,False
40,19,2023-09-23,Bug,High,True
41,19,2023-11-23,Technical,Medium,True
42,19,2024-02-14,Technical,Low,False
43,19,2020-12-16,Feature Request,Low,False
44,20,2023-08-09,Feature Request,Low,True
45,20,2022-10-04,Bug,High,False
46,21,2023-09-02,Billing,High,True
47,22,2024-05-18,Technical,High,False
